attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final
72,185,45,784,968,185,5,5.0,1.82,11.18,129.0,0.73,0.09,2.09,0.91,0.91,1.08,0.84,66,0.75,6.28
540,127,146,4765,4864,107,36,5.0,1.55,91.45,958.18,4.91,0.45,21.18,9.09,9.09,1.09,0.27,208,1.25,5.01
4,5,0,38,41,5,2,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.33
30,0,38,210,210,0,4,-1.0,1.64,0.0,6.36,0.18,0.18,0.27,2.73,0.0,0.0,0.73,4,0.0,0.0
54,0,21,296,296,0,3,-1.0,1.82,6.0,83.45,0.73,0.0,1.18,0.91,0.91,0.1,0.98,31,1.0,1.83
465,653,315,5646,6246,620,24,5.0,1.73,178.36,1306.36,8.27,0.27,26.0,9.39,9.39,1.4,0.17,428,1.63,5.99
8,0,6,42,38,0,5,0.0,2.0,2.73,54.73,0.18,0.18,0.18,1.82,1.82,0.0,0.82,9,0.8,2.01
129,10,43,1177,1167,10,7,-1.0,1.0,22.64,173.82,5.36,0.55,4.0,10.0,3.64,16.6,0.03,79,0.93,0.0
187,0,295,2505,2500,0,6,10.0,0.27,91.82,835.18,15.45,0.27,5.82,10.0,10.0,0.53,0.48,177,0.9,6.55
187,0,295,2505,2500,0,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,6.55
287,19,929,3142,3105,19,15,10.0,1.09,62.64,981.18,1.55,0.55,19.82,10.0,10.0,0.39,0.02,390,1.67,10.0
382,1309,2454,5687,6992,1305,14,10.0,0.73,143.18,1655.0,95.55,0.36,17.45,10.0,9.09,0.53,0.27,301,1.2,7.07
278,228,217,3990,4171,193,7,5.0,1.73,331.27,1742.36,12.55,0.36,15.0,10.0,10.0,2.42,0.44,224,1.38,5.64
30,121,13,149,270,121,3,5.0,2.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.75,4.8
2,0,4,8,8,0,2,-1.0,1.82,8.73,34.0,0.09,0.09,0.09,0.91,0.91,8.63,0.91,6,1.64,0.45
50,57,283,469,524,57,4,5.0,1.82,1.45,19.82,1.09,0.73,0.0,8.18,0.91,9669.0,0.09,23,0.0,4.19
94,0,204,790,790,0,6,0.0,1.27,13.73,311.82,1.27,0.45,2.64,10.0,7.27,3.03,0.05,82,0.89,4.51
10,10,3,116,126,10,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0
39,82,126,447,529,82,2,-1.0,1.18,1.91,24.55,1.91,0.82,0.09,9.39,0.3,819.82,0.05,18,0.0,0.86
44,36,3,274,310,36,1,-1.0,2.0,3.18,29.73,0.18,0.09,0.64,0.91,0.0,38.58,0.91,16,0.0,0.79
219,65,806,3236,3299,65,12,5.0,1.82,105.27,925.27,6.09,0.27,10.09,10.0,10.0,1.15,0.22,309,1.75,5.32
54,208,197,581,785,208,11,0.0,1.82,100.91,774.73,1.64,0.82,3.82,10.0,9.09,0.82,0.11,237,1.63,4.18
247,938,608,2987,3900,913,8,5.0,0.91,29.64,548.45,7.09,0.18,7.45,10.0,9.09,1.7,0.42,150,1.38,6.21
301,73,1219,3192,3265,73,5,0.0,1.91,36.73,403.55,12.27,0.36,5.64,10.0,6.36,8.84,0.34,163,2.38,5.08
570,162,319,7184,7244,60,15,0.0,1.27,117.27,1077.45,13.55,0.45,14.27,10.0,8.18,0.83,0.2,141,1.2,6.59
360,597,984,4596,5011,415,10,5.0,1.64,74.0,703.91,5.18,0.55,32.91,10.0,6.36,9.38,0.24,192,1.44,5.73
69,96,171,514,610,96,6,0.0,1.36,27.0,347.0,0.73,0.18,3.91,4.55,2.73,3.86,0.45,113,1.67,6.18
51,212,170,632,842,212,5,5.0,1.91,8.36,127.36,1.18,0.45,0.64,10.0,3.64,9.42,0.12,44,1.63,6.01
169,164,518,1634,1780,154,8,5.0,2.0,28.73,386.0,1.91,0.64,4.55,10.0,3.64,5.0,0.15,172,0.8,5.95
62,74,71,649,721,74,6,10.0,1.82,20.64,230.73,4.45,0.73,1.45,10.0,3.64,5.02,0.14,88,1.25,6.57
72,178,429,958,1136,186,6,5.0,1.73,26.55,478.73,11.0,0.45,7.82,10.0,10.0,4.33,0.2,118,1.13,5.71
231,44,62,2126,2167,44,13,5.0,2.0,40.45,470.09,2.36,0.64,5.27,10.0,4.55,5.72,0.08,123,1.8,6.4
76,448,209,1004,1452,448,4,5.0,1.36,28.45,339.18,2.73,0.27,4.91,3.64,2.73,1.27,0.64,114,1.5,6.4
168,0,360,1504,1504,0,1,0.0,1.73,0.0,4.45,0.36,0.18,0.0,2.73,0.0,811.0,0.77,0,0.0,3.65
312,1080,1421,4085,4900,832,7,0.0,1.64,114.0,953.09,2.0,0.18,15.82,1.82,1.82,1.94,0.76,237,1.9,1.17
312,1080,1421,4085,4900,832,12,-1.0,2.0,131.36,926.0,1.82,0.36,17.0,10.0,10.0,3.51,0.26,294,1.5,1.17
312,39,1667,4446,4484,39,14,10.0,1.36,306.73,2982.55,7.91,0.18,14.55,5.45,4.55,1.13,0.59,246,1.38,6.57
182,173,477,2354,2503,173,10,0.0,1.73,55.18,631.73,4.91,0.55,8.64,9.09,9.09,1.07,0.21,130,1.0,3.94
2,0,0,6,6,0,1,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.33
2,0,0,6,6,0,3,-1.0,2.0,22.91,175.91,0.45,0.18,2.27,1.82,1.82,0.56,0.73,63,1.22,0.33
305,399,1595,4307,4697,399,14,10.0,1.0,73.18,889.27,15.73,0.18,10.27,10.0,10.0,1.19,0.26,214,1.38,10.0
80,96,104,536,622,90,5,5.0,1.91,0.36,19.64,1.18,0.09,0.45,0.91,0.0,580.73,0.73,9,0.0,4.4
244,35,81,3391,3383,35,19,5.0,0.45,70.91,806.73,7.09,0.18,7.36,10.0,10.0,0.72,0.22,197,1.13,8.85
1,0,2,3,3,0,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.2
44,16,26,433,449,16,2,-1.0,1.82,16.27,172.73,0.82,0.09,4.36,1.82,1.82,7.85,0.82,36,0.0,2.59
375,124,298,4783,4789,33,11,10.0,1.73,88.09,1021.36,13.91,0.73,25.27,10.0,10.0,1.2,0.07,120,0.8,8.31
93,18,10,1268,1280,12,5,10.0,1.64,60.09,506.45,2.55,0.55,3.45,10.0,6.36,1.2,0.07,93,1.44,8.39
302,263,235,4229,4494,263,25,10.0,1.18,131.0,1311.73,8.55,0.18,25.36,10.0,10.0,0.8,0.36,260,1.44,8.67
96,1441,107,1208,2643,1436,4,5.0,1.45,26.73,161.55,1.55,0.91,1.18,10.0,1.82,12.02,0.0,96,0.23,7.93
318,8,712,4323,4312,8,17,10.0,0.64,66.36,917.36,7.82,0.55,17.55,10.0,8.18,0.62,0.08,143,1.2,6.65
42,0,2,290,290,0,2,5.0,1.82,2.45,29.64,0.09,0.09,0.09,0.91,0.91,0.0,0.91,6,0.64,5.39
472,114,126,5969,6042,114,21,10.0,1.27,134.09,1462.18,7.18,0.45,25.0,10.0,10.0,0.66,0.06,270,1.25,3.91
92,0,151,688,688,0,5,5.0,1.45,21.91,306.55,1.09,0.09,4.64,5.15,4.25,0.38,0.47,133,1.22,6.73
175,0,63,2376,2368,0,13,10.0,2.0,33.91,478.09,3.0,0.36,22.45,7.27,5.45,1.92,0.45,129,1.25,6.19
88,21,100,939,960,21,17,10.0,1.55,33.27,331.82,1.82,0.45,3.27,10.0,5.45,2.56,0.07,171,1.4,5.4
151,86,516,1758,1850,86,13,5.0,1.82,25.45,268.45,3.27,0.82,2.36,10.0,9.09,10.06,0.04,34,1.0,3.28
151,86,516,1758,1850,86,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,3.28
351,37,1747,4805,4831,26,12,10.0,1.91,136.82,1044.09,14.82,0.27,12.18,10.0,10.0,0.09,0.31,171,1.13,9.0
200,535,875,2266,2802,535,12,10.0,2.0,56.36,628.09,2.55,0.55,8.27,7.57,3.94,1.92,0.25,194,1.9,7.95
200,535,875,2266,2802,535,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,7.95
154,6,98,2514,2510,6,8,-1.0,1.0,55.82,615.64,5.73,0.73,7.0,10.0,10.0,0.8,0.17,148,1.75,1.59
187,437,574,1648,2074,437,14,0.0,2.0,80.82,821.91,1.73,0.36,9.09,7.27,7.27,0.64,0.1,22,1.73,6.44
97,162,299,846,1008,162,5,0.0,2.0,6.82,138.0,1.73,0.27,0.55,3.64,2.73,1.3,0.71,32,1.06,5.01
47,0,60,486,482,0,5,10.0,1.09,0.0,14.36,0.91,0.45,0.18,10.0,0.0,0.0,0.11,5,0.0,7.61
16,1,43,95,96,1,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.14
185,170,168,1523,1693,170,9,10.0,2.0,28.36,171.55,5.55,0.91,2.73,10.0,3.64,43.75,0.13,20,0.77,5.01
445,1150,347,6660,7639,1015,29,10.0,0.18,97.55,1179.55,23.09,0.55,18.18,10.0,10.0,0.65,0.25,267,1.44,10.0
162,28,172,1555,1555,0,6,10.0,1.45,37.36,351.0,2.0,0.09,4.55,2.73,2.73,0.24,0.78,134,0.95,6.05
311,26,793,4486,4507,26,20,10.0,0.0,160.36,1767.55,4.55,0.45,20.0,10.0,10.0,0.36,0.09,382,1.3,8.83
78,36,52,834,870,36,10,10.0,0.91,23.64,233.18,1.55,0.82,2.45,10.0,5.45,14.7,0.08,43,1.63,8.93
78,36,52,834,870,36,4,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,8.93
217,25,542,3049,3047,0,16,10.0,1.45,84.64,928.18,2.82,0.55,12.18,10.0,10.0,1.15,0.0,192,1.25,8.07
383,0,455,5093,5061,0,17,10.0,0.36,198.0,2045.09,11.73,0.09,24.45,10.0,10.0,0.94,0.24,526,1.56,10.0
37,0,57,468,468,0,6,10.0,2.0,32.18,295.64,2.64,0.64,1.0,10.0,5.45,3.63,0.08,77,1.14,5.17
122,0,226,1052,1052,0,7,5.0,1.18,32.73,261.82,2.09,0.45,3.64,9.09,3.64,25.47,0.35,52,0.69,6.82
61,0,201,784,784,0,9,5.0,1.82,36.73,210.18,0.82,0.18,2.82,4.55,4.55,3.31,0.68,46,0.78,5.47
61,0,201,784,784,0,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,5.47
79,0,46,467,467,0,12,-1.0,1.09,22.73,190.55,1.91,0.73,1.91,10.0,3.64,12.24,0.08,23,1.33,6.59
81,0,164,578,578,0,10,8.35,2.0,0.27,5.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,4,1.25,2.69
81,0,164,578,578,0,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.69
42,1,155,351,352,1,31,10.0,1.82,4.73,102.27,2.0,0.73,1.27,10.0,4.55,20.1,0.02,29,0.67,8.67
111,117,87,1406,1522,116,9,5.0,1.73,17.09,214.82,3.0,0.0,3.45,1.82,1.82,1.39,0.77,88,0.9,2.5
111,117,87,1406,1522,116,0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.5
10,0,18,60,60,0,23,10.0,2.0,26.82,234.09,4.36,0.55,1.55,10.0,6.36,8.41,0.35,83,1.1,6.54
143,0,469,1528,1520,0,43,10.0,1.55,83.55,843.64,5.73,0.45,12.73,10.0,6.36,3.41,0.25,169,1.13,5.96
56,0,31,558,558,0,17,10.0,2.0,1.45,48.09,3.18,0.55,1.36,10.0,2.73,537.23,0.11,12,0.44,5.97
62,0,87,566,566,0,12,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,9.36
62,0,87,566,566,0,46,8.35,1.91,129.36,1059.45,2.36,0.36,21.0,10.0,10.0,2.08,0.11,297,1.63,9.36
328,1126,377,3886,3891,5,26,-1.0,1.36,61.82,1069.27,15.27,0.36,25.36,10.0,10.0,1.15,0.22,198,0.88,2.19
328,1126,377,3886,3891,5,1,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.19
300,25,141,3468,3473,10,64,0.0,1.45,168.27,1859.09,1.73,0.55,36.09,8.18,8.18,2.68,0.22,294,1.67,4.02
300,25,141,3468,3473,10,72,0.0,2.0,67.55,760.45,4.0,0.45,11.0,7.88,7.88,1.37,0.21,82,1.5,4.02
44,0,124,430,430,0,15,10.0,2.0,7.45,184.36,17.45,0.64,8.18,10.0,6.36,204.39,0.25,53,0.25,5.88
43,0,9,493,493,0,17,10.0,1.27,2.82,46.91,1.09,0.55,0.73,10.0,2.73,86.94,0.06,15,0.89,6.5
34,0,0,300,399,0,6,-1.0,2.0,0.0,11.82,0.82,0.82,0.0,9.09,0.0,0.0,0.09,2,0.0,1.55
84,0,17,770,770,0,15,10.0,2.0,163.91,510.45,5.09,0.27,3.27,10.0,6.36,41.01,0.38,61,0.0,5.64
241,0,667,2013,2013,0,25,10.0,2.0,104.45,1554.0,14.55,0.36,7.09,10.0,5.45,2.58,0.3,313,0.63,7.65
40,0,136,458,452,0,5,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,4.4
65,4,106,874,951,4,14,10.0,2.0,4.73,109.0,1.55,0.55,0.55,10.0,4.55,21.05,0.13,39,1.11,8.82
48,0,31,736,732,0,33,5.0,1.45,75.55,617.55,4.91,0.55,7.73,10.0,10.0,3.71,0.22,105,1.55,4.16
48,0,31,736,732,0,23,0.0,2.0,23.36,144.91,0.55,0.55,0.55,6.36,3.64,7.18,0.36,26,0.9,4.16
299,216,258,3623,3593,0,28,5.0,1.18,84.45,1119.45,10.0,0.09,21.55,10.0,10.0,1.15,0.33,316,1.44,10.0
61,248,346,889,1122,193,35,10.0,1.55,27.36,371.45,5.64,0.27,4.55,10.0,10.0,22.35,0.41,61,0.0,10.0
54,0,66,592,592,0,19,10.0,0.73,70.36,354.73,2.0,0.73,3.09,10.0,5.45,4.06,0.11,59,1.13,8.27
54,0,66,592,592,0,1,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,8.27
32,0,7,251,251,0,19,10.0,2.0,55.18,380.45,2.09,0.73,3.18,10.0,9.09,5.43,0.18,125,1.25,5.83
8,0,22,47,47,0,19,5.0,0.91,18.91,207.55,4.09,0.73,0.36,10.0,5.45,5.72,0.21,44,1.13,5.44
54,12,172,543,554,12,20,10.0,1.73,17.64,157.55,1.91,0.73,1.64,10.0,2.73,13.95,0.09,104,1.07,7.09
91,0,131,898,898,0,8,-1.0,1.91,0.73,14.0,0.09,0.0,0.0,0.91,0.91,0.0,0.95,3,0.75,2.46
26,0,89,329,323,0,6,10.0,2.0,14.55,40.0,0.18,0.0,0.45,0.0,0.0,15.92,1.0,9,0.0,2.05
26,0,89,329,323,0,1,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.05
47,0,27,425,425,0,14,5.0,1.55,0.18,27.27,0.91,0.55,0.27,7.27,0.91,42.88,0.14,24,1.38,1.61
237,0,19,2930,2930,0,44,8.35,1.45,276.09,2947.64,9.91,0.18,214.82,10.0,10.0,0.59,0.36,582,1.78,5.18
62,0,59,554,534,0,6,10.0,2.0,32.18,139.73,3.0,0.64,0.18,10.0,2.73,22.0,0.22,49,1.25,6.95
136,682,223,1598,2257,659,15,0.0,1.73,59.45,763.45,1.91,0.64,5.0,10.0,9.09,1.13,0.19,189,1.88,0.74
132,36,416,1357,1386,36,2,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.98
132,36,416,1357,1386,36,2,-1.0,1.09,9.18,214.45,2.73,0.09,1.0,4.85,4.85,0.0,0.73,49,1.44,1.98
93,0,183,1093,1087,0,2,10.0,0.82,0.73,43.36,1.36,0.73,2.0,10.0,3.64,0.0,0.0,8,0.0,8.11
122,0,106,1438,1438,0,1,10.0,1.82,0.0,16.91,0.64,0.64,0.55,10.0,0.0,0.0,0.0,4,0.0,7.71
56,0,35,728,725,0,3,10.0,1.64,19.27,354.55,1.91,0.55,0.0,10.0,10.0,0.0,0.21,63,1.25,5.68
93,35,611,940,970,40,5,5.0,2.0,90.82,441.18,5.73,0.45,9.36,10.0,6.36,12.53,0.3,144,2.11,5.75
158,0,100,1751,1745,0,7,10.0,1.64,114.0,1160.27,4.27,0.55,10.0,10.0,10.0,0.05,0.13,238,1.0,7.47
40,61,153,581,637,61,4,10.0,0.18,32.18,449.36,2.91,0.55,0.0,10.0,8.18,0.53,0.11,50,0.89,6.67
74,42,65,731,773,42,8,5.0,1.0,13.45,271.55,1.09,0.82,3.64,9.09,3.64,5.33,0.14,112,0.63,6.87
