id_studant,attempts,comments,blank_line,lloc,sloc,single_comments,system_access,exam_grade_codebench,difficult,delete_average,average_log_rows,submission_per_exercice,sucess_average,test_average,exercices_list_grade,exercices_list_grade_check_plagiarism,copy_past_proportion,sintaxe_error,IDE_usage,keystroke_latency,Media_Final,SITUATION
1153,18,12,8,184,187,3,3,5,1.18,0,15.09,0.82,0.82,0.18,10,0,0,0,4,0,5.84,1
1155,35,15,18,388,391,3,2,5,1.09,2.36,53,1.45,0.73,0,10,3.64,34.92,0.13,22,0,7.83,1
1157,51,28,0,526,535,12,5,5,1.64,11.45,127.55,1.09,0.82,2.36,10,7.27,16.26,0.05,25,0.36,3.29,2
1158,43,1,17,470,470,0,2,10,0.18,3,49,1.18,0.73,0,10,3.64,36.63,0,32,0,7.07,1
1159,60,1,2,388,388,0,2,5,2,10.09,89.64,1.45,0.55,0.18,9.09,8.18,20.88,0.14,15,0,1.64,2
1160,26,17,0,296,297,1,4,-1,0.64,2.73,87.73,2,0.55,0.45,10,7.27,22.93,0.23,16,0,5.11,1
1161,38,18,0,415,418,3,5,0,2,0.09,41.09,1.91,1,0,10,0.91,13743,0,60,0,2.03,2
1162,25,6,0,271,271,0,9,-1,0.45,10.27,174.64,1.55,0.55,1.64,10,5.45,6.9,0.2,80,1.67,5.02,1
1163,16,13,4,176,177,1,3,5,1.45,0.91,49.82,0.91,0.91,0.09,10,2.73,41.75,0,47,0,3.25,2
1164,18,14,7,194,199,5,6,5,2,3.91,81.09,1.27,0.64,0,10,1.82,10.42,0.14,38,0.89,1.43,2
1165,38,21,22,407,396,3,2,5,1.36,3.09,27,1.27,0.91,0,10,1.82,0,0.05,2,0,1.45,2
1166,253,11,77,2592,2594,2,10,5,1.45,58.55,686.36,9.55,0.36,10.91,10,7.27,1.46,0.26,217,1.13,3.93,2
1167,66,63,456,719,743,24,4,-1,0.73,12.09,131.27,3.91,0.55,4.27,10,6.36,24.53,0.06,55,0,2.47,3
1168,33,0,107,344,344,0,5,5,1.82,29.27,390.55,1.73,0.55,0.09,10,10,0.1,0.1,55,0.63,1.99,2
1169,74,27,10,632,632,0,6,5,0.55,12.73,10112.45,2.09,0.82,4,10,5.45,15.74,0.09,91,1,5.01,1
1170,57,44,20,543,549,6,5,5,2,5.36,83645.18,1.09,0.91,2.55,10,10,15.16,0.05,123,0.35,5.71,1
1171,280,30,1,2637,2667,30,10,5,1.82,36.18,82696.55,7.73,0.36,10.36,10,8.18,18.74,0.39,176,0.6,2.77,2
1172,8,0,27,79,79,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,1.65,2
1173,51,1,105,297,297,0,1,5,1.91,0.27,18.64,0,0,1.55,0,0,25.52,1,21,0,0.47,2
1174,37,20,22,420,424,4,1,5,2,0.73,19.91,1.27,0.73,0,10,0,0,0.14,5,0,2.54,2
1175,152,17,96,1555,1572,17,2,10,1.64,33.73,244.82,3.18,0,4.82,2.73,1.82,2.54,0.81,106,0.63,7.55,1
1176,61,2,4,693,695,2,3,5,0.36,0.09,16.18,0.91,0.82,0.18,10,0,0,0,3,0,7.12,1
1177,33,20,15,304,307,4,1,5,1.73,7.73,32.18,1.09,0.55,0,10,0,765.38,0.09,1,0,1.17,2
1178,114,10,50,1152,1162,10,4,5,1,12.55,290.64,1.82,0.55,4.36,10,10,0.16,0.05,62,1.38,2.63,2
1180,82,44,27,835,851,16,4,10,2,8.27,209.18,1.18,0.73,3.45,10,10,24.92,0.11,68,0.63,2.08,2
1181,84,49,8,828,836,8,11,0,2,16.45,69058.55,1.91,0.64,2.91,10,10,13.04,0.11,64,0.57,5.09,1
1182,34,25,0,309,312,3,7,5,2,2.82,26510.36,0.82,0.45,2.55,10,4.55,37.79,0.05,29,0,3.16,2
1183,91,0,2,857,851,0,9,5,1.73,14.73,5082.73,4.82,0.45,0.64,10,10,1.61,0.3,72,0.92,5.46,1
1184,215,77,355,2326,2358,32,4,5,1.64,30.82,49569.82,2.64,0.64,8.36,10,9.09,7.39,0.05,234,1.38,5.15,1
1185,318,284,82,2856,2943,87,13,-1,2,39.45,3325.45,12.09,0.18,9.36,10,6.36,20.05,0.57,172,0.56,2.39,2
1186,88,36,15,792,803,11,7,0,2,23.27,18396.91,1.18,0.73,5.45,10,10,8.13,0.11,89,0.83,4.2,2
1188,33,12,0,226,229,3,5,-1,2,1.45,72,1.91,0.82,1.09,10,4.55,40.52,0.01,35,0,0.96,3
1190,40,0,90,479,479,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,5.14,1
1191,74,434,133,682,1116,434,6,-1,0.64,7.91,761,1.64,0.55,6.73,10,7.27,99.12,0.08,57,1.13,0,5
1191,74,434,133,682,1116,434,4,-1,2,29.58,205.42,2.92,0.08,4.92,8.33,7.5,8.5,0.19,109,0.78,0,5
1192,173,450,383,1698,2154,450,16,-1,1.27,37.27,6891.18,4.55,0.18,12.27,10,9.09,5.13,0.12,167,0.67,0,5
1192,173,450,383,1698,2154,450,2,-1,2,9.58,83.08,5.17,0.67,1.25,8.33,3.33,93.28,0.27,34,0,0,5
1193,177,0,223,1957,1957,0,9,5,0.73,56.55,646,4.18,0.55,4.73,10,5.45,4.45,0.16,258,1.9,2.62,2
1194,197,90,197,1769,1858,90,9,0,1.91,74.09,33540.91,5.64,0.55,9.18,10,8.18,51.78,0.14,195,0.43,0,5
1196,72,27,193,806,833,27,8,5,1.82,14.64,58,0.91,0.91,0.18,10,3.64,1075.8,0.07,21,0,0,5
1198,183,0,135,1685,1685,0,9,5,2,29.64,452.45,18.18,0.36,3.73,10,8.18,0.89,0.1,78,1.13,1.35,2
1199,233,16,585,2617,2633,16,16,5,1.64,106.27,1033.91,10,0.27,7.73,10,10,0.62,0.35,277,1.5,5.02,1
1201,319,0,386,2738,2738,0,13,10,1.27,37.91,39772.55,7.55,0.18,18.73,9.09,8.18,0.25,0.2,238,1.22,7.21,1
1202,30,0,20,159,159,0,2,-1,1.91,16.09,93.73,0,0,0.64,0,0,0,1,8,0.53,0,5
1203,88,0,35,701,701,0,6,5,2,3.64,72.09,1.09,0.45,1.73,7.27,1.82,100.8,0.38,28,0,1.3,3
1206,73,0,138,674,674,0,2,5,1.55,23,72030.36,2.09,0.45,1.64,8.18,3.64,2.05,0.19,78,0.88,0,5
1210,789,15,1022,9086,9103,15,28,5,2,108.55,3419.09,67.36,0.09,11.82,10,10,1.03,0.13,224,1.67,8.86,1
1213,116,94,84,1167,1261,94,2,5,1.45,23.91,357.64,1.36,0.73,7.73,10,4.55,3.35,0.09,172,1.13,6.91,1
1214,217,509,717,2001,2506,505,12,10,1.09,208.64,11025,3.64,0.73,7.82,10,10,1.85,0.15,278,1.13,9.4,1
1215,78,0,35,985,985,0,4,-1,1.09,25.27,361,3.82,0.18,0.82,10,9.09,0.47,0.33,60,1.25,5.26,1
1216,41,0,36,319,319,0,2,-1,1.55,19.45,203.91,3.64,0,1.09,3.64,3.64,1.3,0.88,44,1,0,5
1216,41,0,36,319,319,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,5
1217,253,380,237,2422,2802,380,11,0,1.55,20,397.73,6.45,0.27,5.45,9.09,6.36,8.39,0.33,134,1.6,6.49,1
1218,234,18,55,2577,2591,18,6,10,1.45,67.91,588,3.55,0.09,8.45,6.36,6.36,11.78,0.23,202,1.38,6.67,1
1219,410,0,61,6983,6983,0,6,5,1,21.55,407.73,4.18,0.45,4,10,9.09,0.62,0.26,92,1.25,6.28,1
1220,989,33,120,12830,12863,33,46,-1,1.82,119.45,7804.64,7.27,0.36,36.36,10,10,7.38,0.13,200,1.22,5.01,1
1221,132,0,106,1410,1410,0,3,5,1.27,20.27,78922.27,1.82,0.18,6,3.64,3.64,0.49,0.58,105,0.72,2.33,2
1222,120,0,76,1194,1194,0,10,0,1.45,22.27,44240.18,2.18,0.73,5,10,8.18,1.45,0.08,150,1.2,0,5
1224,55,0,36,536,536,0,1,5,1.18,28.36,325.18,0.55,0.36,2.27,3.64,3.64,0.22,0.64,59,1,1.83,2
1225,703,567,697,9438,9644,206,16,10,1.64,144.18,28862.91,8.91,0.27,17.73,10,10,2.05,0.12,304,1.67,5.99,1
1226,79,21,296,849,870,21,8,5,2,19.18,10078.55,0.36,0.18,2.91,2.73,2.73,0.96,0.77,85,1.33,2.01,2
1228,114,4,136,1869,1873,4,4,0,1.55,13.91,210.55,1.55,0.82,5.27,10,7.27,19.86,0.05,74,1.25,0,5
1231,242,0,394,2558,2558,0,7,10,0.18,97.73,1226.64,36.09,0.18,11.82,10,10,0.21,0.25,134,1,6.55,1
1231,242,0,394,2558,2558,0,3,6.67,2,33.17,295.17,5.5,0.5,3.42,10,5.83,2.73,0.15,111,0.89,6.55,1
1232,222,84,705,2279,2289,10,8,10,1,43.55,16923.73,4.18,0.64,13,10,10,0.56,0,341,1.25,10,1
1233,232,746,1164,2899,3629,730,6,5,0.82,145.73,1480.45,7.64,0.36,8.73,10,10,1.02,0.2,231,1.23,7.07,1
1234,283,68,565,5296,5360,64,6,5,1.91,105.18,85877.36,6.55,0.09,12.64,10,10,0.69,0.42,229,1.5,5.64,1
1235,59,140,79,908,1048,140,3,5,2,8.82,174.64,2,0.82,2.09,10,4.55,18.51,0.11,46,0.63,4.8,2
1236,150,51,555,2185,2236,51,3,-1,1.73,88.82,127951.27,3.64,0.36,5.27,8.18,8.18,1.46,0.17,180,1.38,0.45,2
1237,34,73,55,772,845,73,4,5,2,0,15.64,1.09,0.91,0,10,0,0,0.05,3,0,4.19,2
1239,96,83,463,1444,1525,83,4,5,1.09,25.45,441.18,1.45,0.82,4.09,10,10,0.02,0.13,75,1.13,4.51,2
1240,49,0,31,361,361,0,4,-1,1.45,9.91,3063.73,1,1,0.82,10,2.73,19.05,0.05,21,0.5,0,5
1241,146,244,401,2424,2663,244,6,5,1.45,25.91,496.18,3.45,0.27,2.64,8.18,6.36,2.18,0.45,60,1.3,0.86,2
1242,121,151,104,1563,1714,151,3,-1,1.18,54.09,48684,1.27,0.73,7.45,10,9.09,0.43,0.05,217,1.13,0.79,2
1243,268,313,1084,2913,3226,313,8,0,2,196.82,22527.55,3,0.09,19.27,10,10,0.87,0.2,278,1.38,5.32,1
1244,104,450,355,1702,2152,450,6,5,2,24.73,391.36,1.91,0.91,4.09,10,9.09,4.09,0,115,1.22,4.18,2
1246,260,948,786,3609,4555,946,7,0,0.55,10.64,200.64,1.09,0.45,1.36,10,7.27,3.64,0.12,43,1,6.21,1
1248,767,1322,1425,9029,10341,1322,18,5,1.91,102.36,1011.73,12.73,0.27,57.09,10,8.18,7.55,0.31,122,1.44,5.08,1
1250,1160,230,970,10792,10830,38,20,5,2,357,49677.91,33.45,0.18,36.45,10,8.18,0.48,0.24,84,1.25,6.59,1
1251,186,712,182,2095,2792,697,9,0,2,53.82,580.45,2.27,0.45,10,10,9.09,1.62,0.19,135,1.38,5.73,1
1252,264,1141,894,3787,4928,1141,10,5,2,17.82,25830.64,3.45,0.36,8,10,10,7.4,0.1,151,1.5,6.18,1
1253,103,145,137,1522,1664,142,7,5,1.45,18.36,260.27,3.91,0.55,2.64,10,4.55,4.98,0.25,67,0.75,6.01,1
1254,50,44,54,817,861,44,3,5,2,0,13,0.64,0.64,0.27,10,0,0,0,4,0,5.95,1
1255,181,295,286,2352,2645,295,6,5,2,59.73,39189.82,28.55,0.18,4.36,10,10,1.32,0.38,203,1.3,6.57,1
1257,128,602,658,1766,2368,602,4,0,1.09,25.73,40260.18,2.36,0.73,5,10,10,6.05,0.11,128,1,5.71,1
1258,235,15,345,2406,2406,15,7,5,2,45.36,592.73,1.55,0.55,13.18,10,6.36,6.85,0.12,88,1,6.4,1
1259,4,28,4,32,60,28,2,-1,1.36,7.91,82.27,0.45,0.27,0.82,3.64,3.64,3.3,0.64,35,2.22,6.4,1
1261,36,40,123,653,693,40,3,5,1.09,2.82,50.55,1.64,0.73,0.18,10,1.82,199.12,0.08,61,0.44,3.65,2
1263,435,2681,1885,10043,12674,2632,2,-1,2,27.91,256.82,0.73,0.18,3.55,1.82,1.82,4.11,0.73,84,0.88,1.17,2
1263,435,2681,1885,10043,12674,2632,12,5.57,2,44.67,475.67,5,0.25,8.08,10,8.33,28.84,0.12,333,2,1.17,2
1264,99,86,192,1239,1325,86,4,5,1.18,29.73,651.55,4.82,0.09,6.18,7.27,7.27,0.34,0.55,123,1.25,6.57,1
1265,8,0,6,46,46,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,5
1267,136,205,173,2779,2984,205,9,5,1.55,38.45,60181.91,1.91,0.82,5.64,10,10,0.84,0.06,138,1.25,3.94,2
1270,54,0,155,655,655,0,3,-1,1.45,33.55,471,0.64,0.64,4.09,6.36,5.45,0.73,0.36,90,0.9,0,5
1271,104,0,145,1901,1901,0,1,-1,1.82,2.64,24.18,0.09,0,0.45,0,0,9.76,1,5,0,1.25,2
1273,309,681,1586,11107,11787,680,23,5,1.18,75.82,788.73,13.73,0.27,6.55,10,10,3.82,0.16,151,1,10,1
1275,162,80,130,1998,2072,79,13,5,1.55,71.09,706.73,1.82,0.55,2.82,10,10,1.66,0.07,167,1.63,4.4,2
1276,223,142,61,3177,3318,145,7,10,0.09,64.91,16064.18,4.09,0.18,9.55,10,10,2.6,0.23,174,1.38,8.85,1
1277,16,15,50,165,180,15,3,-1,1.64,5.45,78.09,1.82,0,0.45,0,0,2.49,0.92,29,2,0.2,2
1278,124,0,48,1538,1538,0,7,5,1.55,33.27,70945.45,1.82,0.27,2.91,4.55,4.55,3.89,0.6,56,0.82,2.59,2
1281,214,0,67,2085,2085,0,8,10,1.55,49.09,70404,6.36,0.36,6.09,10,10,0.47,0.17,111,0.91,8.31,1
1283,227,0,2,4634,4634,0,4,5,0.73,7.09,76.55,0.73,0.55,0.82,7.27,0,17.48,0.32,32,0.35,8.39,1
1284,192,222,56,2919,3141,222,7,10,1.45,29.64,467.27,9.91,0.18,5.36,10,10,0.18,0.11,117,0.8,8.67,1
1285,287,582,102,3976,4548,574,10,10,0.73,89.27,1049.73,7.27,0.27,14.64,10,9.09,1.72,0.2,261,0.93,7.93,1
1286,335,6,851,4266,4252,0,25,10,0.64,82.18,1129.36,15.82,0.55,18.73,10,10,0.85,0.07,312,0.75,6.65,1
1287,94,0,20,1776,1776,0,2,5,2,0,0,0,0,0,0,0,0,1,0,0,5.39,1
1289,268,0,335,3533,3533,0,18,10,2,68.73,748.18,3.27,0.36,16.82,10,9.09,0.56,0.03,373,1.56,3.91,2
1291,154,24,394,2394,2382,0,3,5,1.73,17.82,225.36,0.55,0.18,3.73,2.73,2.73,0.75,0.73,80,1.22,6.73,1
1292,291,10,43,3497,3500,3,8,5,2,11.45,185.82,1,0.73,3.45,10,2.73,10.79,0,61,0.81,6.19,1
1293,174,357,215,2120,2461,341,13,5,0.45,12.64,247.73,6.73,0.82,4.36,10,4.55,8.04,0.11,78,1.5,5.4,1
1294,334,227,674,6385,6598,222,14,5,2,104.18,73891.18,2.45,0.55,5.55,10,10,6.28,0.22,133,1.13,3.28,2
1294,334,227,674,6385,6598,222,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,3.28,2
1295,325,0,1095,3492,3413,0,13,10,2,112.64,930.45,23.27,0.27,16.91,10,10,3.8,0.14,218,1.38,9,1
1296,187,521,657,1680,2181,521,6,10,2,30.27,424.18,20.45,0.27,4.55,10,6.36,3.56,0.16,167,0.88,7.95,1
1296,187,521,657,1680,2181,521,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,7.95,1
1297,155,112,154,1549,1660,112,5,0,1.18,20.27,231.27,3.45,0.18,3.09,6.36,5.45,0.68,0.55,111,2.4,1.59,2
1298,296,779,1010,3108,3887,779,28,10,2,79.36,23707.18,3.09,0.27,15.18,9.09,8.18,1.17,0.1,212,1.13,6.44,1
1299,158,200,587,2675,2875,200,3,10,2,10.55,168.55,2.55,0.27,0.82,4.55,4.55,1.32,0.55,70,1.33,5.01,1
1300,219,6,299,2795,2796,1,6,5,1.36,51.45,678.55,5.27,0.45,6.91,10,6.36,4.4,0.21,148,1.4,7.61,1
1302,86,0,126,978,978,0,3,5,1.55,6.55,52096,0,0,1.18,2.12,1.82,0.18,0.73,34,1.38,1.14,2
1303,344,513,818,6567,7047,475,6,10,2,143.09,19979.73,3.36,0.73,4.55,10,10,18.37,0.19,26,0.8,5.01,1
1304,245,561,193,3816,4377,561,22,10,0.36,56.73,15612,5.91,0.27,14.55,10,10,0.13,0.13,254,1.25,10,1
1306,370,0,717,6587,6587,0,7,5,1.27,47.18,8973.18,1.36,0.27,13.45,5.75,5.75,1.81,0.45,170,1.25,6.05,1
1307,161,0,340,2435,2435,0,11,10,0.82,36.73,711.27,2.09,0.64,6.18,10,10,0.39,0.02,191,1.13,8.83,1
1308,212,8,375,5295,5297,3,24,10,1.09,7,202.82,2.73,0.55,3.82,10,5.45,10.62,0.1,44,0.67,8.93,1
1308,212,8,375,5295,5297,3,1,-1,2,0,0,0,0,0,0,0,0,1,0,0,8.93,1
1309,218,211,376,2593,2704,111,12,10,1.36,54.09,695.64,1.55,0.45,8.91,10,10,0.26,0.05,232,1,8.07,1
1310,205,0,134,2324,2324,0,5,10,0.82,75.18,890.45,11.73,0.27,12.91,10,10,1.48,0.16,284,1.38,10,1
1313,144,14,214,2276,2263,7,7,10,2,15.91,218,2.55,0.73,2.64,10,2.73,21.3,0.08,63,0.75,5.17,1
1314,331,108,807,4549,4657,108,9,5,1.73,92.09,48555.45,1.82,0.18,7.36,4.55,4.55,0.99,0.65,151,1.3,6.82,1
1315,265,0,397,6646,6595,0,10,5,2,14.18,98.64,0.09,0,1,0,0,2.98,1,12,0.5,5.47,1
1315,265,0,397,6646,6595,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,5.47,1
1322,75,14,34,987,986,0,6,5,1.91,23.09,142,1,0.36,1.36,10,3.64,4.66,0.13,30,0.41,6.59,1
1323,223,0,402,1977,1977,0,10,5,1,32.36,486.73,7,0.36,14,10,6.36,3.5,0.37,125,1.13,2.69,2
1323,223,0,402,1977,1977,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,2.69,2
1324,84,0,368,1028,1022,0,6,0,1.91,21.36,48591.09,2,0.55,3.36,10,4.55,2.54,0.09,83,0.63,8.67,1
1325,187,0,571,3392,3392,0,4,-1,1,38.09,5375,4.55,0.09,5.09,10,10,4.63,0.27,171,1.13,2.5,2
1325,187,0,571,3392,3392,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,2.5,2
1326,149,13,159,1612,1617,5,7,0,2,19,73010.18,17.55,0.55,2.64,10,6.36,15.6,0.24,168,0.89,6.54,1
1327,360,1,1462,3659,3660,1,15,5,1.73,275.82,3364.91,62.91,0.36,70,10,7.27,0.79,0.21,568,0.89,5.96,1
1328,35,6,36,238,239,1,7,5,2,0.36,28.73,0.91,0.55,0,10,0,243.8,0.09,18,0,5.97,1
1329,451,0,499,5529,5529,0,26,-1,2,0,0,0,0,0,0,0,0,1,0,0,9.36,1
1329,451,0,499,5529,5529,0,17,10,1.18,123.55,137980.09,7.27,0.09,16.55,10,10,0.42,0.17,157,1,9.36,1
1330,289,535,286,6479,6700,235,23,5,1.82,83.91,96052.55,18.45,0.45,24.09,10,10,0.73,0.19,189,1,2.19,2
1330,289,535,286,6479,6700,235,6,-1,2,21.08,277.67,1.08,0.17,8.08,2.5,2.5,0.93,0.8,75,1.1,2.19,2
1331,269,0,335,3079,3079,0,11,5,1.09,94.64,876.18,3.09,0.45,8.09,10,9.09,8.55,0.13,306,1.63,4.02,2
1331,269,0,335,3079,3079,0,39,3.33,2,70.17,694.58,3,0.58,14.33,8.89,8.89,3.25,0.04,307,1.88,4.02,2
1332,246,68,175,2182,2250,68,4,5,2,82.64,39168.36,10.55,0.27,16.73,10,10,9.16,0.5,174,1.38,5.88,1
1333,131,41,72,1933,1933,0,8,5,0.82,13,187.64,1.27,0.36,0.55,10,10,11.74,0.27,57,0,6.5,1
1334,232,1,454,2558,2559,1,9,5,1.09,10.55,248.36,36.36,0.82,5.73,10,2.73,8.13,0.14,140,0.67,1.55,2
1335,104,0,12,1751,1751,0,10,0,2,7.73,116.73,2.09,0.45,1.09,10,3.64,22.74,0.2,61,0.67,5.64,1
1338,25,0,44,187,187,0,1,-1,1.91,12.09,24077.18,0.09,0.09,2,0.91,0.91,0.12,0.91,24,0.56,0.81,2
1338,25,0,44,187,187,0,4,-1,2,16.08,155.08,0.25,0.08,3.92,0.83,0.83,0.72,0.92,40,0.94,0.81,2
1339,211,0,274,1873,1873,0,4,10,1.64,107.36,1130.36,10.55,0.36,9.82,10,9.09,0.23,0.23,198,1.6,7.65,1
1340,176,0,31,2160,2162,0,5,5,2,10.82,188.09,4.09,0.55,0.91,9.09,4.55,7.72,0.33,50,1.38,4.4,2
1342,98,16,167,2033,2049,16,4,-1,1.64,30.73,338.91,3.82,0.36,3.82,10,9.09,1.39,0.24,75,1.38,1.17,2
1343,116,31,1315,3439,4357,31,5,10,2,19,186.82,1.82,0.55,2.27,10,6.36,11.78,0.15,43,0.31,8.82,1
1346,98,0,99,1651,1651,0,4,5,1.73,1.55,107.45,0.82,0.82,0.18,10,9.09,7.6,0,28,0.56,4.16,2
1346,98,0,99,1651,1651,0,14,-1,2,11.58,184.5,1.17,0.67,3.25,8.89,6.39,16.37,0.08,125,1.38,4.16,2
1348,271,3,90,3045,3045,0,15,10,1.36,45.09,691.91,4.36,0.55,12.36,10,8.18,1.12,0.09,159,1,10,1
1349,89,35,196,1054,1089,35,11,10,0.64,16.36,304.27,3.91,0.27,4,10,7.27,2.92,0.29,100,0.5,10,1
1350,102,0,405,1292,1292,0,10,10,1.27,17.18,20376.45,7,0.45,3.36,10,10,0.09,0.1,122,1.11,8.27,1
1350,102,0,405,1292,1292,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,8.27,1
1351,210,0,36,2027,2027,0,10,5,2,101,50980.09,1.73,0.36,8.18,10,8.18,9.64,0.19,157,1.78,5.83,1
1352,92,1,7,1012,1013,1,6,5,1.27,19.36,181.18,2.18,0.64,0.27,10,4.55,2.57,0.09,47,1,5.44,1
1353,254,6,435,1930,1936,6,15,10,1.64,50.27,12907.27,4.27,0.55,3.45,10,5.45,2.54,0.13,199,1.25,7.09,1
1355,116,36,268,1657,1657,0,5,10,1,21.91,232.55,5,0.64,2.18,10,5.45,3.25,0.17,82,1.13,2.46,2
1356,87,0,113,996,994,0,7,5,1.64,23.55,33760,1,0.27,3.09,4.55,4.55,0.03,0.63,85,0.71,2.05,2
1356,87,0,113,996,994,0,1,-1,2,0,0,0,0,0,0,0,0,1,0,0,2.05,2
1357,58,4,52,1386,1386,0,4,5,1.27,23.55,272.73,3.82,0.27,1.18,7.27,6.36,0.14,0.55,102,1.63,1.61,2
1358,348,8,186,4097,4097,33,19,5,1.55,60.55,55934,2.45,0.45,17.91,10,6.36,1.2,0.07,259,1.11,5.18,1
1383,100,0,134,1413,1413,0,5,10,2,38.82,133.64,0.91,0.64,0.18,10,2.73,955.5,0.02,8,0,6.95,1
1384,167,1145,463,2213,3326,1114,20,0,1.73,88.55,851.73,2.36,0.64,5.09,10,9.09,1.55,0,232,1.89,0.74,2
1385,106,15,254,775,790,15,3,-1,2,0,0,0,0,0,0,0,0,1,0,0,1.98,2
1385,106,15,254,775,790,15,2,5,1.82,31.18,31441.27,2.36,0.09,1.82,1.82,1.82,0.72,0.82,107,1.5,1.98,2
1386,41,12,9,802,814,12,4,5,0.91,0,25.27,0.91,0.91,1.55,10,0,0,0,20,0,8.11,1
